method,success_mean,success_sd,min_sep_mean,min_sep_sd,path_length_mean,path_length_sd,runtime_mean_s,collision_rate
A*,90.0,10.170952554312155,0.04696910064684407,0.039413736976738986,1.2263011448212537,0.04516247780332094,2.0190700766552863,0.5
APF,96.0,8.136762043449727,0.05519575091699759,0.010057233961598166,1.3900544842084248,0.06783016821782076,0.01738374000415206,0.2
Dual-stream MAPPO,89.33333333333333,10.1483252680985,0.05912231653928757,0.022371470839472208,3.23877268632253,0.11169399692752532,1.3800924966732662,0.5333333333333333
MAPPO,83.33333333333333,7.580980435789034,0.05437374276419481,0.023810240400618035,3.182839544614156,0.11260031909826712,0.9192237933360351,0.8333333333333334
RRT*,89.33333333333333,10.148325268098496,0.039357303359891425,0.017885581566660883,1.2559120844754952,0.052953246092944814,0.022931756672915072,0.5333333333333333
