baseline,wilcoxon_W,p_raw,wins,ties,losses,median_relative_improvement_pct,p_holm
PSO,2.0,5.7220458984375e-06,18,0,1,5.448261212008322,1.71661376953125e-05
GA,57.0,0.06681060791015625,13,0,6,0.6275445802929249,0.1336212158203125
ACO,114.0,0.7793331146240234,9,0,10,-0.3963195610504585,0.7793331146240234
DE,0.0,1.9073486328125e-06,19,0,0,8.418177201489483,7.62939453125e-06
