scenario,tasks,seed,algorithm,fitness,convergence_iteration,runtime_s,evaluation_budget
1,13,202601,IPSO,0.2844825838955117,25,0.0646398999961093,416
1,13,202601,PSO,0.2875290333547053,25,0.0508484999882057,416
1,13,202601,GA,0.2615774221246005,19,0.0762056999374181,416
1,13,202601,ACO,0.2524815326852314,15,0.2281523999990895,416
1,13,202601,DE,0.2720306004732389,16,0.1462935999734327,416
1,13,202602,IPSO,0.2605874858611514,25,0.0980028000194579,416
1,13,202602,PSO,0.2553252575046302,25,0.110043300082907,416
1,13,202602,GA,0.2774680973891256,21,0.1280543999746441,416
1,13,202602,ACO,0.2663938186781595,17,0.3117007999680936,416
1,13,202602,DE,0.2751375941753721,25,0.1245687000919133,416
1,13,202603,IPSO,0.2655845630882141,11,0.0987692999187856,416
1,13,202603,PSO,0.2795269921717894,25,0.1302875999826938,416
1,13,202603,GA,0.2846114257076734,25,0.1159291999647393,416
1,13,202603,ACO,0.2697918254989302,19,0.3162750999908894,416
1,13,202603,DE,0.2690931458306632,25,0.1164799999678507,416
1,13,202604,IPSO,0.2640864905707821,17,0.1077993999933824,416
1,13,202604,PSO,0.2560833682193306,25,0.098161100060679,416
1,13,202604,GA,0.2689042331312317,25,0.1024844999192282,416
1,13,202604,ACO,0.2684652577560424,12,0.2895583000499755,416
1,13,202604,DE,0.2841756490306804,12,0.1359759999904781,416
1,13,202605,IPSO,0.2723781833426769,18,0.1001781999366357,416
1,13,202605,PSO,0.2764029401822299,16,0.0533907000208273,416
1,13,202605,GA,0.2660020765365907,25,0.0731724000070244,416
1,13,202605,ACO,0.2695977111544222,12,0.1357161999912932,416
1,13,202605,DE,0.275395013099325,14,0.1186244999989867,416
1,13,202606,IPSO,0.2649124043035706,25,0.0730633999919518,416
1,13,202606,PSO,0.2647048163962223,23,0.0717425999464467,416
1,13,202606,GA,0.2753614928328614,23,0.1052324000047519,416
1,13,202606,ACO,0.2667801450427001,25,0.3208981999196112,416
1,13,202606,DE,0.2723649289245594,20,0.0740988999605178,416
1,13,202607,IPSO,0.2729450186938139,18,0.0699110000859946,416
1,13,202607,PSO,0.2622050584753649,16,0.0721405999502167,416
1,13,202607,GA,0.2593817214540495,20,0.0768589999061077,416
1,13,202607,ACO,0.2825125449784653,16,0.1480651999590918,416
1,13,202607,DE,0.2595557847911945,25,0.0645272999536246,416
1,13,202608,IPSO,0.2698151172957223,12,0.0775335000362247,416
1,13,202608,PSO,0.2857294093403998,25,0.0693314000964164,416
1,13,202608,GA,0.2489232231411335,25,0.0766346000600606,416
1,13,202608,ACO,0.277734935013565,15,0.141686400049366,416
1,13,202608,DE,0.2674289989199968,11,0.0916200000792741,416
1,13,202609,IPSO,0.2559805138281698,25,0.0516437999904155,416
1,13,202609,PSO,0.2687084137919512,18,0.0507377000758424,416
1,13,202609,GA,0.2706459911627654,16,0.0563165000639855,416
1,13,202609,ACO,0.2642477773011815,25,0.1515827000839635,416
1,13,202609,DE,0.2898909454836164,19,0.1114734000293538,416
1,13,202610,IPSO,0.2673511857181813,18,0.0646884000161662,416
1,13,202610,PSO,0.2721772626136617,24,0.0489591000368818,416
1,13,202610,GA,0.2863071900378663,18,0.0680445999605581,416
1,13,202610,ACO,0.2686708113627937,23,0.1531864000717178,416
1,13,202610,DE,0.2840717375877646,25,0.0620513000758364,416
1,13,202611,IPSO,0.2624325127847654,25,0.0518189000431448,416
1,13,202611,PSO,0.27857120911055,14,0.0724362999899312,416
1,13,202611,GA,0.2509789881682686,25,0.0569599999580532,416
1,13,202611,ACO,0.2743077519352812,12,0.1523045999929309,416
1,13,202611,DE,0.2910060743173671,22,0.0923952999291941,416
1,13,202612,IPSO,0.2721019806363395,25,0.0515663999831303,416
1,13,202612,PSO,0.2812856474816746,13,0.0620068000862374,416
1,13,202612,GA,0.2631962560161598,24,0.0862258999841287,416
1,13,202612,ACO,0.2563185974480132,19,0.1603169000009074,416
1,13,202612,DE,0.2694974986067528,23,0.0923854999709874,416
1,13,202613,IPSO,0.2669303661219037,22,0.0683920999290421,416
1,13,202613,PSO,0.2589800093443598,25,0.0574099000077694,416
1,13,202613,GA,0.2580165031783281,25,0.0839738000649958,416
1,13,202613,ACO,0.2697219233447592,22,0.1653369999257847,416
1,13,202613,DE,0.2714858503647478,21,0.0632818999001756,416
1,13,202614,IPSO,0.3045997416394562,16,0.0637896999251097,416
1,13,202614,PSO,0.2776511306117254,16,0.048432599985972,416
1,13,202614,GA,0.272209684091356,25,0.0552894999273121,416
1,13,202614,ACO,0.2823053159983331,15,0.1541668999707326,416
1,13,202614,DE,0.2885504370274545,24,0.0876562999328598,416
1,13,202615,IPSO,0.2522983156366677,25,0.0615413999184966,416
1,13,202615,PSO,0.2794031392554803,16,0.0713227000087499,416
1,13,202615,GA,0.2732713728808134,20,0.1220476999878883,416
1,13,202615,ACO,0.2890959258662278,17,0.142509700031951,416
1,13,202615,DE,0.273497788888577,25,0.0630268000531941,416
